Neighborhood,Units,YearBuilt,SqFt,Borough,ValuePerSqFt
SOUTHBRIDGE,49,1900,37646,Manhattan,140.59
TRIBECA,128,1987,115909,Manhattan,231.1
TRIBECA,133,1987,138016,Manhattan,231.1
TRIBECA,11,2001,54500,Manhattan,209.03
CIVIC CENTER,8,1969,17000,Manhattan,118.41
CIVIC CENTER,10,1900,22964,Manhattan,172.97
CIVIC CENTER,27,1900,59853,Manhattan,122.95
CIVIC CENTER,75,1930,118046,Manhattan,243.97
CIVIC CENTER,65,1915,112500,Manhattan,161.33
CIVIC CENTER,14,1860,32039,Manhattan,200.01
CIVIC CENTER,87,1910,217318,Manhattan,239.72
CIVIC CENTER,26,1900,50165,Manhattan,158.76
CIVIC CENTER,15,2007,15060,Manhattan,206.51
TRIBECA,12,1920,30062,Manhattan,163.93
TRIBECA,83,1987,89377,Manhattan,242.1
TRIBECA,80,1988,66551,Manhattan,222.33
TRIBECA,,1930,28000,Manhattan,153.61
TRIBECA,38,1931,87334,Manhattan,183.89
TRIBECA,1,1915,,Manhattan,158.8
TRIBECA,30,1910,92487,Manhattan,183.87
TRIBECA,163,2006,182235,Manhattan,210.66
TRIBECA,220,2006,535060,Manhattan,255.08
TRIBECA,311,2005,314373,Manhattan,247.48
TRIBECA,13,1915,19882,Manhattan,118.95
TRIBECA,11,1920,15500,Manhattan,397.55
TRIBECA,12,1910,27928,Manhattan,163.85
CIVIC CENTER,2,1915,12688,Manhattan,183.95
CIVIC CENTER,20,1920,24992,Manhattan,205.67
CIVIC CENTER,21,1895,32300,Manhattan,183.87
CIVIC CENTER,13,1915,20500,Manhattan,170.49
CIVIC CENTER,9,1920,20325,Manhattan,182.93
CIVIC CENTER,20,1915,35900,Manhattan,216.1
CIVIC CENTER,19,1915,45510,Manhattan,173.39
CIVIC CENTER,8,1915,26658,Manhattan,138.83
CHINATOWN,18,1915,20000,Manhattan,155.5
CHINATOWN,12,1900,41204,Manhattan,162.65
CHINATOWN,163,1990,126500,Manhattan,141
CHINATOWN,11,1915,28500,Manhattan,155.51
CHINATOWN,72,2007,91412,Manhattan,226.95
CIVIC CENTER,47,1900,132423,Manhattan,184.41
CIVIC CENTER,30,1920,89678,Manhattan,155.72
CIVIC CENTER,29,1920,56292,Manhattan,162.67
CIVIC CENTER,17,1860,32939,Manhattan,119.28
CIVIC CENTER,24,1915,98891,Manhattan,194.06
CIVIC CENTER,11,1915,24985,Manhattan,107.54
TRIBECA,10,1982,33633,Manhattan,147.47
TRIBECA,31,1915,88615,Manhattan,120
TRIBECA,20,1915,,Manhattan,158.12
TRIBECA,10,1921,23287,Manhattan,107.01
TRIBECA,10,1983,10962,Manhattan,140.85
TRIBECA,,1915,17788,Manhattan,118.11
TRIBECA,8,1915,12690,Manhattan,118.59
TRIBECA,36,1915,86451,Manhattan,160.13
TRIBECA,46,1910,83020,Manhattan,167.67
TRIBECA,25,1930,94532,Manhattan,128
TRIBECA,24,1915,52735,Manhattan,120
TRIBECA,14,1921,40581,Manhattan,157.71
TRIBECA,13,1915,53468,Manhattan,157.7
TRIBECA,11,1915,18315,Manhattan,152.77
TRIBECA,10,1909,24407,Manhattan,163.15
TRIBECA,23,1915,86900,Manhattan,162.67
TRIBECA,57,1905,150010,Manhattan,162.67
TRIBECA,33,1924,119996,Manhattan,177.94
TRIBECA,26,2000,68033,Manhattan,183.51
TRIBECA,64,1915,119640,Manhattan,162.66
TRIBECA,2,1875,4169,Manhattan,118.49
TRIBECA,15,2005,34587,Manhattan,221.07
CHINATOWN,167,1985,163160,Manhattan,136.23
CHINATOWN,61,2004,60962,Manhattan,184.75
CHINATOWN,23,2003,46545,Manhattan,214.87
CHINATOWN,27,1900,70649,Manhattan,157.26
TRIBECA,9,1915,16028,Manhattan,104.13
TRIBECA,50,1915,122640,Manhattan,152.6
TRIBECA,34,1890,67451,Manhattan,162.67
TRIBECA,10,1929,46250,Manhattan,215.96
TRIBECA,35,2004,138798,Manhattan,168.97
TRIBECA,24,1930,66444,Manhattan,147.69
TRIBECA,66,1913,155221,Manhattan,177.94
TRIBECA,15,1920,58213,Manhattan,188.03
TRIBECA,33,1853,100894,Manhattan,152.79
TRIBECA,4,2007,17185,Manhattan,219.55
TRIBECA,65,2004,163128,Manhattan,198.95
TRIBECA,28,1920,88897,Manhattan,143.72
TRIBECA,16,1930,37785,Manhattan,129.84
TRIBECA,6,1915,16400,Manhattan,130.91
TRIBECA,,1915,51647,Manhattan,152.79
TRIBECA,31,1920,94924,Manhattan,162.67
TRIBECA,33,1900,73257,Manhattan,120.73
TRIBECA,20,1962,36435,Manhattan,157.71
TRIBECA,27,1920,88496,Manhattan,162.66
TRIBECA,38,1910,73919,Manhattan,130.49
TRIBECA,8,1940,24059,Manhattan,121.62
SOHO,11,2003,25300,Manhattan,180.24
SOHO,67,2007,146294,Manhattan,202.66
SOHO,10,1915,,Manhattan,158.32
SOHO,10,1920,17632,Manhattan,134.19
SOHO,16,1910,44653,Manhattan,127.61
CHINATOWN,18,1911,45148,Manhattan,147.65
CHINATOWN,12,1915,28370,Manhattan,156.26
CHINATOWN,39,1990,25786,Manhattan,155.67
CHINATOWN,25,1915,26907,Manhattan,181.03
CHINATOWN,18,1899,14777,Manhattan,125.53
CHINATOWN,80,1929,85956,Manhattan,117.41
LOWER EAST SIDE,13,1912,19597,Manhattan,118.44
LOWER EAST SIDE,10,2005,7576,Manhattan,161.69
LOWER EAST SIDE,26,1990,27046,Manhattan,99.87
LOWER EAST SIDE,80,2002,43850,Manhattan,209.03
LOWER EAST SIDE,16,2004,9744,Manhattan,184.32
LOWER EAST SIDE,12,1991,5700,Manhattan,192.28
LOWER EAST SIDE,10,2004,6656,Manhattan,177.58
CHINATOWN,74,1989,47161,Manhattan,160.47
CHINATOWN,32,1991,25805,Manhattan,143.27
CHINATOWN,20,1900,11358,Manhattan,77.65
LOWER EAST SIDE,28,1988,19924,Manhattan,121.41
LOWER EAST SIDE,24,1907,21645,Manhattan,109.96
LOWER EAST SIDE,30,1928,21223,Manhattan,109.55
LOWER EAST SIDE,29,1912,43723,Manhattan,121.52
CHINATOWN,8,1988,4227,Manhattan,119.47
CHINATOWN,10,2007,7169,Manhattan,193.33
LOWER EAST SIDE,10,1900,6791,Manhattan,99.13
LOWER EAST SIDE,35,1990,23604,Manhattan,145.06
LOWER EAST SIDE,16,2002,31406,Manhattan,173.66
LOWER EAST SIDE,41,1941,25795,Manhattan,137.12
LOWER EAST SIDE,4,1920,7535,Manhattan,151.82
LOWER EAST SIDE,23,1910,17899,Manhattan,112.3
CHINATOWN,8,1910,8188,Manhattan,125.31
LOWER EAST SIDE,25,2003,39027,Manhattan,154.79
LOWER EAST SIDE,27,1940,23344,Manhattan,213.5
LOWER EAST SIDE,53,1930,56354,Manhattan,237.64
LOWER EAST SIDE,41,2004,39643,Manhattan,193.96
LOWER EAST SIDE,6,1950,44742,Manhattan,399.38
LOWER EAST SIDE,48,1930,61673,Manhattan,186.58
LOWER EAST SIDE,38,1930,32476,Manhattan,155.16
LOWER EAST SIDE,31,2005,47873,Manhattan,180.39
LOWER EAST SIDE,2,1900,2787,Manhattan,153.21
ALPHABET CITY,25,2001,27798,Manhattan,115.55
ALPHABET CITY,23,2005,34734,Manhattan,168.14
ALPHABET CITY,5,2008,7405,Manhattan,202.84
ALPHABET CITY,47,2005,36472,Manhattan,235.22
ALPHABET CITY,13,1920,18990,Manhattan,118.17
ALPHABET CITY,30,1901,20940,Manhattan,110.98
ALPHABET CITY,16,2000,15704,Manhattan,156.33
ALPHABET CITY,78,2001,65832,Manhattan,198.73
ALPHABET CITY,83,1928,78982,Manhattan,117.51
ALPHABET CITY,12,2005,11603,Manhattan,208.14
ALPHABET CITY,35,1999,36046,Manhattan,154.5
ALPHABET CITY,12,2001,15957,Manhattan,153.6
ALPHABET CITY,12,2001,11495,Manhattan,153.63
ALPHABET CITY,17,2008,19333,Manhattan,183.26
ALPHABET CITY,21,1920,20038,Manhattan,117.58
ALPHABET CITY,16,1920,19854,Manhattan,112.77
ALPHABET CITY,1,1920,1996,Manhattan,153.31
ALPHABET CITY,41,1987,35664,Manhattan,131.08
ALPHABET CITY,17,1920,21314,Manhattan,121.23
ALPHABET CITY,12,1999,14376,Manhattan,156.93
ALPHABET CITY,26,1965,29906,Manhattan,169.33
ALPHABET CITY,24,1900,15021,Manhattan,105.12
ALPHABET CITY,18,1920,11033,Manhattan,82.25
ALPHABET CITY,18,1999,19119,,134.32
LOWER EAST SIDE,13,1900,31205,Manhattan,194.17
LOWER EAST SIDE,6,1900,3800,Manhattan,154.74
LOWER EAST SIDE,10,1900,11517,Manhattan,182.34
LOWER EAST SIDE,16,1900,14130,Manhattan,174.59
LOWER EAST SIDE,17,1920,18201,Manhattan,172.35
LOWER EAST SIDE,18,1900,7994,Manhattan,172.5
LOWER EAST SIDE,9,1920,5597,Manhattan,169.91
LOWER EAST SIDE,16,1900,5130,Manhattan,183.63
LOWER EAST SIDE,12,2003,8664,Manhattan,228.3
LOWER EAST SIDE,12,2002,7042,Manhattan,249.93
LOWER EAST SIDE,8,1990,7841,Manhattan,190.54
LOWER EAST SIDE,55,2005,58364,Manhattan,184.99
LOWER EAST SIDE,16,1988,13319,Manhattan,200.17
LOWER EAST SIDE,10,1900,12777,Manhattan,111.61
LOWER EAST SIDE,16,1900,26783,Manhattan,183.59
LOWER EAST SIDE,63,2000,56479,Manhattan,236.92
EAST VILLAGE,32,1991,23605,Manhattan,205.97
EAST VILLAGE,20,1920,11229,Manhattan,170.01
EAST VILLAGE,10,1920,10461,Manhattan,173.5
EAST VILLAGE,10,2007,6166,Manhattan,294.36
EAST VILLAGE,13,2001,15742,Manhattan,211.79
EAST VILLAGE,27,1900,30363,Manhattan,181.04
EAST VILLAGE,13,1900,20099,Manhattan,148.42
EAST VILLAGE,40,1911,25528,Manhattan,203.93
EAST VILLAGE,96,2006,93382,Manhattan,241.63
EAST VILLAGE,11,2007,14982,Manhattan,200.17
EAST VILLAGE,20,1900,17225,Manhattan,194.19
EAST VILLAGE,28,2004,17793,Manhattan,205.98
EAST VILLAGE,66,1920,67764,Manhattan,200.4
EAST VILLAGE,20,1900,11574,Manhattan,200.19
EAST VILLAGE,35,1999,62556,Manhattan,235.2
EAST VILLAGE,36,2008,46707,Manhattan,251.38
EAST VILLAGE,14,2007,24778,Manhattan,205.14
EAST VILLAGE,34,1991,36693,Manhattan,226.64
EAST VILLAGE,36,1984,24528,Manhattan,244.09
EAST VILLAGE,14,1900,14650,Manhattan,182.94
EAST VILLAGE,10,1910,11995,Manhattan,200.17
EAST VILLAGE,12,1920,13648,Manhattan,187.79
EAST VILLAGE,12,1900,14269,Manhattan,179.62
EAST VILLAGE,28,2006,30662,Manhattan,284.39
EAST VILLAGE,16,1920,12192,Manhattan,178.23
EAST VILLAGE,155,1964,113930,Manhattan,186.82
LITTLE ITALY,28,1988,21442,Manhattan,142.01
LITTLE ITALY,55,1905,104637,Manhattan,100.18
SOHO,,1904,50547,Manhattan,156.49
SOHO,13,1890,78982,Manhattan,110.44
SOHO,18,1874,27023,Manhattan,111.17
SOHO,1,1941,1158,Manhattan,261.66
SOHO,13,1894,35452,Manhattan,126.03
SOHO,14,1920,36407,Manhattan,126.02
SOHO,41,2005,117311,,210.98
SOHO,20,1920,32149,Manhattan,125.82
SOHO,14,1900,55210,Manhattan,114.91
SOHO,10,1900,22500,Manhattan,163.16
LITTLE ITALY,37,1900,56714,Manhattan,115.54
LITTLE ITALY,41,1926,83916,Manhattan,178.31
SOHO,52,2005,73057,,211.77
SOHO,9,1900,35700,Manhattan,170.9
SOHO,10,1900,20525,Manhattan,126.09
SOHO,6,1929,42091,Manhattan,114.99
SOHO,2,1900,9196,Manhattan,173.88
SOHO,4,1920,12506,Manhattan,179.43
SOHO,391,2007,343599,Manhattan,317.2
LITTLE ITALY,44,1915,39087,Manhattan,144.22
LITTLE ITALY,10,1900,11563,Manhattan,161.2
LITTLE ITALY,35,1988,24582,Manhattan,158.86
LITTLE ITALY,15,2007,28258,,202.49
LITTLE ITALY,25,1900,12142,Manhattan,126.01
SOHO,2,1900,3518,Manhattan,119.39
SOHO,14,1900,18031,Manhattan,143.03
SOHO,10,1881,19827,Manhattan,125.99
SOHO,19,1988,34876,Manhattan,107.24
SOHO,14,2005,42823,Manhattan,232.21
SOHO,15,1907,20752,Manhattan,107.22
SOHO,29,1900,36223,Manhattan,107.25
SOHO,12,1879,34968,Manhattan,194.52
SOHO,5,1879,31369,Manhattan,194.52
SOHO,15,1920,31967,Manhattan,138.17
SOHO,35,1900,34821,Manhattan,120.67
LITTLE ITALY,22,1900,22511,Manhattan,116.7
LITTLE ITALY,26,1987,17117,Manhattan,158.21
LITTLE ITALY,5,1955,6635,Manhattan,103.24
LITTLE ITALY,29,1900,97941,Manhattan,145.83
SOHO,21,1900,107781,Manhattan,134.53
SOHO,9,1900,15295,Manhattan,123.77
SOHO,32,2003,56800,Manhattan,215.19
SOHO,15,2003,41314,Manhattan,180.25
SOHO,16,2006,38591,Manhattan,220.52
SOHO,11,1915,37403,Manhattan,152.8
SOHO,38,1950,20826,Manhattan,133.87
SOHO,27,1900,13020,,150.92
SOHO,15,1920,6013,Manhattan,109.93
SOHO,38,1900,33383,Manhattan,122.58
GREENWICH VILLAGE-CENTRAL,18,1988,9514,Manhattan,178.05
GREENWICH VILLAGE-CENTRAL,4,1926,6188,Manhattan,124.43
GREENWICH VILLAGE-CENTRAL,1,1910,7157,Manhattan,101.02
GREENWICH VILLAGE-CENTRAL,11,1910,31039,Manhattan,120.3
GREENWICH VILLAGE-CENTRAL,190,1910,132000,Manhattan,112.11
GREENWICH VILLAGE-CENTRAL,11,1910,6670,Manhattan,114.99
GREENWICH VILLAGE-CENTRAL,54,1958,23688,Manhattan,114.95
GREENWICH VILLAGE-CENTRAL,144,1910,85234,Manhattan,148.83
GREENWICH VILLAGE-WEST,32,1986,35225,Manhattan,156.22
GREENWICH VILLAGE-WEST,12,1986,15990,Manhattan,153.41
GREENWICH VILLAGE-CENTRAL,20,1904,24630,Manhattan,142.35
GREENWICH VILLAGE-CENTRAL,10,1900,14608,Manhattan,129.52
GREENWICH VILLAGE-CENTRAL,21,1900,41990,Manhattan,120.29
GREENWICH VILLAGE-CENTRAL,10,2002,24910,Manhattan,187.68
GREENWICH VILLAGE-CENTRAL,10,1900,18572,Manhattan,110.06
GREENWICH VILLAGE-CENTRAL,1,1910,2527,Manhattan,96.16
GREENWICH VILLAGE-CENTRAL,26,2006,85000,Manhattan,210.75
GREENWICH VILLAGE-CENTRAL,56,1912,92500,Manhattan,177.41
GREENWICH VILLAGE-CENTRAL,273,1908,290492,Manhattan,153.28
GREENWICH VILLAGE-CENTRAL,10,1928,18064,Manhattan,117.53
GREENWICH VILLAGE-CENTRAL,18,1900,15744,Manhattan,113.25
GREENWICH VILLAGE-CENTRAL,24,1928,17842,Manhattan,113.27
GREENWICH VILLAGE-CENTRAL,40,1900,22777,Manhattan,126.05
GREENWICH VILLAGE-CENTRAL,25,1920,88353,Manhattan,186.94
GREENWICH VILLAGE-CENTRAL,39,2004,116535,Manhattan,222.04
GREENWICH VILLAGE-CENTRAL,10,1895,46022,Manhattan,119.68
GREENWICH VILLAGE-CENTRAL,50,1930,96566,Manhattan,127.58
GREENWICH VILLAGE-CENTRAL,390,1965,445151,Manhattan,166.1
GREENWICH VILLAGE-CENTRAL,28,1986,43106,Manhattan,120.86
GREENWICH VILLAGE-CENTRAL,28,1966,32116,Manhattan,167.52
GREENWICH VILLAGE-CENTRAL,11,1905,28385,Manhattan,133.91
GREENWICH VILLAGE-CENTRAL,65,1900,83089,Manhattan,120.58
GREENWICH VILLAGE-CENTRAL,41,1985,56483,Manhattan,141.56
GREENWICH VILLAGE-CENTRAL,70,1905,90082,Manhattan,135.65
GREENWICH VILLAGE-CENTRAL,44,1988,57042,Manhattan,131.52
GREENWICH VILLAGE-CENTRAL,84,2006,100500,Manhattan,226.89
GREENWICH VILLAGE-CENTRAL,145,1955,136098,Manhattan,116.89
GREENWICH VILLAGE-CENTRAL,150,1959,160209,Manhattan,131.14
GREENWICH VILLAGE-CENTRAL,213,1954,140370,Manhattan,116.89
GREENWICH VILLAGE-CENTRAL,229,1955,209785,Manhattan,116.96
GREENWICH VILLAGE-CENTRAL,102,1928,136144,Manhattan,126.93
GREENWICH VILLAGE-CENTRAL,44,1985,43542,Manhattan,149.24
GREENWICH VILLAGE-CENTRAL,7,1910,18493,Manhattan,116.96
GREENWICH VILLAGE-CENTRAL,89,1921,81875,Manhattan,190
GREENWICH VILLAGE-CENTRAL,1,1921,3475,Manhattan,189.93
GREENWICH VILLAGE-CENTRAL,27,1907,66739,Manhattan,116.96
GREENWICH VILLAGE-CENTRAL,12,1908,28097,Manhattan,116.95
GREENWICH VILLAGE-CENTRAL,37,1910,52493,Manhattan,132.55
GREENWICH VILLAGE-CENTRAL,115,1903,60860,Manhattan,138.1
GREENWICH VILLAGE-CENTRAL,39,1928,42384,Manhattan,122.5
GREENWICH VILLAGE-CENTRAL,7,1930,23079,Manhattan,104.03
GREENWICH VILLAGE-CENTRAL,20,2006,36330,Manhattan,248.97
GREENWICH VILLAGE-CENTRAL,23,1952,13256,Manhattan,126.13
GREENWICH VILLAGE-CENTRAL,18,1900,14398,Manhattan,135.23
GREENWICH VILLAGE-CENTRAL,119,1959,94250,Manhattan,115.03
GREENWICH VILLAGE-CENTRAL,15,1900,9380,Manhattan,118.76
GREENWICH VILLAGE-CENTRAL,17,1912,34118,Manhattan,113.81
GREENWICH VILLAGE-CENTRAL,70,1966,82017,Manhattan,131.19
GREENWICH VILLAGE-CENTRAL,105,1931,112050,Manhattan,190.69
GREENWICH VILLAGE-CENTRAL,30,1910,34168,Manhattan,130.47
GREENWICH VILLAGE-CENTRAL,77,1906,201330,Manhattan,166.95
GREENWICH VILLAGE-CENTRAL,30,2008,33170,Manhattan,278.29
GREENWICH VILLAGE-WEST,169,1925,100633,Manhattan,116.19
GREENWICH VILLAGE-WEST,30,1929,19320,Manhattan,112.53
GREENWICH VILLAGE-WEST,43,1929,66282,Manhattan,141.35
GREENWICH VILLAGE-WEST,86,1930,89510,Manhattan,119.57
GREENWICH VILLAGE-WEST,45,1900,21494,Manhattan,124.36
GREENWICH VILLAGE-WEST,30,1910,21738,Manhattan,117.31
GREENWICH VILLAGE-WEST,18,1915,44820,Manhattan,156.25
SOHO,10,1890,5907,Manhattan,106.99
SOHO,104,2003,196695,Manhattan,223.57
SOHO,22,1915,65085,Manhattan,218.51
SOHO,64,2005,94226,Manhattan,206.44
SOHO,13,2005,29579,Manhattan,233.81
SOHO,21,2007,40000,Manhattan,199.63
SOHO,19,2008,31608,Manhattan,243.48
SOHO,12,1920,24850,Manhattan,199.64
SOHO,12,1920,31613,Manhattan,114.89
SOHO,40,2005,68865,Manhattan,220.37
SOHO,10,1901,19533,Manhattan,105.82
SOHO,14,1920,31930,Manhattan,138.18
GREENWICH VILLAGE-WEST,184,1920,212232,Manhattan,157.54
GREENWICH VILLAGE-WEST,6,1900,26000,Manhattan,165.27
GREENWICH VILLAGE-WEST,142,2002,310000,Manhattan,231.85
GREENWICH VILLAGE-WEST,83,1920,88227,Manhattan,149.01
GREENWICH VILLAGE-WEST,214,1961,165160,Manhattan,188.56
GREENWICH VILLAGE-WEST,19,1912,58507,Manhattan,127.66
GREENWICH VILLAGE-WEST,113,1931,120723,Manhattan,208.87
GREENWICH VILLAGE-WEST,21,1987,18780,Manhattan,249.15
GREENWICH VILLAGE-WEST,30,1910,19715,Manhattan,155.16
GREENWICH VILLAGE-WEST,25,1905,13997,Manhattan,217.4
GREENWICH VILLAGE-WEST,122,1964,92616,Manhattan,180.48
GREENWICH VILLAGE-WEST,17,1900,9720,Manhattan,189.09
GREENWICH VILLAGE-WEST,241,1931,209011,Manhattan,138.72
GREENWICH VILLAGE-WEST,132,1987,101634,Manhattan,244.69
GREENWICH VILLAGE-WEST,10,1910,8739,Manhattan,202.65
GREENWICH VILLAGE-WEST,30,2008,62138,Manhattan,219.25
GREENWICH VILLAGE-WEST,29,1910,13177,Manhattan,170.37
GREENWICH VILLAGE-WEST,22,1998,41506,Manhattan,251.39
GREENWICH VILLAGE-WEST,40,1893,22157,Manhattan,158.6
GREENWICH VILLAGE-WEST,21,1914,13648,Manhattan,198.2
GREENWICH VILLAGE-WEST,60,1920,32638,Manhattan,213.62
GREENWICH VILLAGE-WEST,15,1983,27448,Manhattan,200.16
GREENWICH VILLAGE-WEST,128,1910,138934,Manhattan,186.13
GREENWICH VILLAGE-WEST,87,1939,75154,Manhattan,213.63
GREENWICH VILLAGE-WEST,181,1930,159268,Manhattan,149.4
GREENWICH VILLAGE-WEST,21,1907,30312,Manhattan,213.61
GREENWICH VILLAGE-WEST,49,1962,32863,Manhattan,202.2
GREENWICH VILLAGE-WEST,47,1920,123881,Manhattan,239.46
GREENWICH VILLAGE-WEST,11,1920,23425,Manhattan,244.74
GREENWICH VILLAGE-WEST,8,1988,8129,Manhattan,228.81
GREENWICH VILLAGE-WEST,20,1910,53943,Manhattan,130.92
GREENWICH VILLAGE-WEST,77,1987,73176,Manhattan,251.75
GREENWICH VILLAGE-WEST,9,1990,22991,Manhattan,230.18
GREENWICH VILLAGE-WEST,24,1930,42407,Manhattan,213.62
GREENWICH VILLAGE-WEST,24,1997,38871,Manhattan,281.11
GREENWICH VILLAGE-WEST,20,1900,11852,Manhattan,217.77
GREENWICH VILLAGE-WEST,32,1913,48708,Manhattan,213.62
GREENWICH VILLAGE-WEST,81,1987,60200,Manhattan,281.1
GREENWICH VILLAGE-WEST,23,2001,88141,Manhattan,258.3
GREENWICH VILLAGE-WEST,29,2004,72225,Manhattan,281.09
GREENWICH VILLAGE-WEST,20,1905,48620,Manhattan,288.01
GREENWICH VILLAGE-WEST,24,1988,21991,Manhattan,245.51
GREENWICH VILLAGE-WEST,18,1999,39213,Manhattan,245.51
GREENWICH VILLAGE-WEST,61,2007,177550,Manhattan,313.22
GREENWICH VILLAGE-WEST,27,1910,20546,Manhattan,223.21
GREENWICH VILLAGE-WEST,12,2007,48890,Manhattan,282.74
GREENWICH VILLAGE-WEST,84,1997,147335,Manhattan,236.31
GREENWICH VILLAGE-WEST,12,1910,11270,Manhattan,234.96
CHELSEA,25,2007,67671,Manhattan,233.7
CHELSEA,55,2007,137343,Manhattan,210.71
CHELSEA,12,1930,28207,Manhattan,213.63
CHELSEA,30,1930,72274,Manhattan,213.62
CHELSEA,6,1914,23702,Manhattan,200.03
CHELSEA,336,2005,272102,Manhattan,236.23
CHELSEA,22,2004,49658,Manhattan,246.65
CHELSEA,11,2005,24000,Manhattan,284.38
CHELSEA,16,2007,60964,Manhattan,193.84
CHELSEA,18,2007,49238,Manhattan,168.53
CHELSEA,181,2006,173100,Manhattan,240.75
CHELSEA,288,2006,264402,Manhattan,81.13
CHELSEA,42,1900,49892,Manhattan,302.07
CHELSEA,20,1920,22920,Manhattan,182.24
CHELSEA,47,2007,83950,Manhattan,222
CHELSEA,10,2007,26615,Manhattan,208.53
CHELSEA,22,2008,50490,Manhattan,297.25
CHELSEA,71,1989,54355,Manhattan,222
CHELSEA,54,2008,113082,Manhattan,271.45
CHELSEA,39,1985,37431,Manhattan,194.84
CHELSEA,11,1900,8408,Manhattan,149.5
CHELSEA,713,1920,616965,Manhattan,201.08
CHELSEA,79,1912,97500,Manhattan,210.99
CHELSEA,52,1914,96088,Manhattan,245.5
JAVITS CENTER,52,1915,110799,Manhattan,125.09
CHELSEA,117,1973,110995,Manhattan,193.95
CHELSEA,22,1905,37402,Manhattan,213.62
CHELSEA,218,1963,196721,Manhattan,180.99
CHELSEA,70,1998,66668,Manhattan,219.85
CHELSEA,44,1985,53937,Manhattan,227.93
CHELSEA,221,1931,151785,Manhattan,174.85
CHELSEA,26,1920,30908,Manhattan,213.63
CHELSEA,11,1911,16083,Manhattan,249.14
CHELSEA,77,1948,36000,Manhattan,213.61
CHELSEA,14,1910,32450,Manhattan,243.67
CHELSEA,17,2002,15480,Manhattan,233.72
FASHION,20,1926,31962,Manhattan,192.64
FASHION,16,1920,11685,Manhattan,163.29
FASHION,36,2005,34168,Manhattan,207.36
CHELSEA,22,1930,16478,Manhattan,177.33
CHELSEA,34,1930,19979,Manhattan,177.34
CHELSEA,16,1985,19718,Manhattan,227.51
CHELSEA,156,1989,141673,Manhattan,179.36
CHELSEA,11,1910,62304,Manhattan,231.48
CHELSEA,31,1926,68206,Manhattan,203.79
CHELSEA,32,1907,83519,Manhattan,123.01
CHELSEA,37,2000,63723,Manhattan,222.01
