Type,Alcohol,Malic_Acid,Ash,Ash_Alcalinity,Magnesium,Total_Phenols,Flavanoids,Nonflavanoid_Phenols,Proanthocyanins,Color_Intensity,Hue,OD280_OD315,Proline
A,14.04,2.05,2.85,13.18,107.89,2.91,2.91,1.09,2.47,4.68,1.65,4.52,1211.85
A,13.55,2.57,2.91,11.43,101.61,2.73,3.44,1.12,3.1,5.97,1.21,4.25,1203.49
A,13.94,2.52,3.12,13.28,107.75,2.76,4.09,1.09,1.9,6.62,1.14,5.05,1159.97
A,13.44,2.17,2.6,12.99,109.17,2.96,4.55,1.2,3.03,5.78,1.53,4.78,1098.93
A,13.22,2.13,2.66,11.7,100.01,3.25,3.16,0.56,2.99,5.21,1.14,4,1067.74
A,13.97,2.23,2.29,12.63,101.69,3.21,4.61,1.15,2.94,6.23,1.64,3.58,1122.05
A,13.44,2.23,2.92,13.68,105.13,2.76,4.57,1.09,1.85,6.36,1.99,5.03,1148.42
A,13.87,1.88,2.7,11.78,101.91,3.59,4.65,1.15,2.58,5.47,1.45,4.38,1073.22
A,13.45,2.71,2.93,12.63,100.6,3,3.82,0.52,2.16,6.13,1.75,3.64,1080.27
A,13.29,2.14,2.34,11.53,100.78,2.85,3.6,0.52,2.81,4.41,1.36,5.08,1058.25
A,13.24,1.99,2.89,13.83,106.03,2.66,3.91,0.62,2.76,5.18,1.17,3.77,1071.92
A,13.41,2.22,2.47,12.9,101.65,2.83,3.47,0.83,1.65,4.9,1.73,3.71,1097.74
A,13.87,2.34,2.43,14.12,105.22,3.45,4.76,0.64,2.72,5.05,1.47,4.77,1116.63
A,13.38,2.7,3.12,12.62,106.25,3.34,2.87,0.81,1.93,5.98,2.02,4.55,1189.84
A,13.96,3.04,3.04,19.76,103.41,3.57,3.86,0.76,3.31,7.45,1.93,4.28,1373.62
A,13.67,2.78,3.65,19.06,105.21,3.41,4.18,1.08,3.54,6.56,1.22,4.79,1309.57
A,13.69,2.37,2.7,19.28,101.55,3.54,3.52,1,3.55,5.85,1.92,3.4,1295.03
A,13.41,2.74,3.45,21.02,103.62,3,4.51,1.12,3.5,6.93,1.7,3.25,1265.77
A,13.64,3.12,3.23,20.14,106.59,2.91,4.17,0.95,4.38,6.67,1.19,5.03,1240.1
A,13.38,2.37,2.94,21.58,107.73,3.71,3.91,1.1,3.02,7.91,1.66,5.15,1298.42
A,13.32,3.3,2.77,20.24,108.37,3.55,3.29,1,3.35,7.4,1.63,3.17,1380.18
A,13.55,2.68,3.18,19.21,107.45,2.8,3.97,0.57,4.18,5.85,1.08,4.79,1364.53
A,13.37,3.32,2.9,20.05,105.47,3.13,3.77,0.48,3.8,6.75,2,3.91,1190.72
A,13.37,3.19,3.3,20.24,107.27,3.64,4.96,0.49,3.6,8.12,1.54,5.03,1377.29
A,13.45,3.33,3.08,20.27,108.98,3.16,4.45,0.97,3.55,6.75,1.71,4.58,1221.04
A,14.16,2.45,2.79,19.09,108.96,2.98,5.1,1.14,4.53,8.12,1.77,3.92,1259.24
A,14.16,2.79,3.03,18.79,110.52,3.78,4.56,1.18,4.24,6.1,1.7,4.52,1325.99
A,13.87,3.26,2.87,20.93,101.48,3.61,3.51,0.85,4.68,7.42,1.24,4.25,1363.16
A,14.01,2.76,3.5,20.6,105.19,3.18,5.12,0.48,3.16,6,1.52,3.45,1279.8
A,13.66,2.74,3.19,19.71,109.45,3.7,4.46,1.28,3.21,7.63,1.86,4.35,1217.62
A,13.76,2.86,3.59,21.09,105.68,3,4.87,0.49,3.34,6.12,1.82,4.09,1355.27
A,13.84,3.06,3.18,20.47,109.04,3,3.49,0.89,3.31,7.51,1.05,3.51,1249.39
A,13.99,2.82,3.46,21.19,104.88,3.72,4.86,0.88,4.8,8.3,1.34,4.78,1236.79
A,13.42,2.57,3.09,20.36,103.14,3.37,4.92,0.44,3.85,7.52,1.03,4.45,1218.42
A,14.63,2.47,3.33,19.38,118.96,4.56,3.65,0.9,3.18,9.74,1.72,4.59,1640.09
A,14.56,2.17,3.44,17.93,115.15,4.57,5.38,0.68,3.84,8.82,1.47,4.17,1626.66
A,15.35,2.17,2.81,19.64,118.91,4.65,5,0.98,2.86,9.29,1.21,4.69,1593.34
A,14.47,2.62,2.99,18.89,113.77,4.16,5.01,1.02,3.31,9.61,1.04,4.01,1544.33
A,14.8,2.46,3.33,19.51,113.39,4.63,5.46,0.83,3.1,9.08,1.63,4.29,1544.06
A,15.2,2.41,3.46,19.03,117.86,4.03,3.55,0.32,3.41,10.53,0.98,4.24,1508.27
A,14.38,1.96,3.29,17.34,121.7,4.03,3.86,1.13,3.45,10.73,1.73,4.79,1609.95
A,15.25,2.12,3.4,17.38,122.37,4.12,5.11,1.21,3.97,10.7,0.96,4.86,1544.12
A,14.42,2.32,2.89,17.51,116.32,4.27,5.21,0.75,3.58,9.25,1.84,4.4,1572.58
A,15.13,2.49,2.68,18.12,121.3,4.12,3.55,1.17,3.97,10.28,1.15,4.31,1643.85
A,15.24,2.22,3.44,19.37,121.17,4.24,4.16,0.58,3.34,8.94,1.56,5.14,1498.39
A,15.21,2.41,3.38,18.91,113.74,4.12,5.1,1.17,2.36,9.6,1.12,4.13,1642.42
A,15.25,2.55,3.39,16.89,122.1,4.76,4.1,0.82,3.02,9.14,1.51,3.51,1662.61
A,14.69,2.75,3.45,18.86,115.66,4.76,5.25,0.77,2.41,9.33,1.01,5.39,1569.82
A,14.77,2.46,3.3,19.01,113.69,3.95,3.96,0.32,2.45,8.42,1.06,4.67,1677.87
A,14.56,2.86,2.58,17.37,119.98,4.62,4.34,0.27,3.39,9.3,1.66,4.85,1610.51
A,15.19,2.1,3.05,17.55,117.76,4.57,4.95,1.05,3.41,9.02,1.33,5.4,1552.14
A,14.83,2.18,2.83,17.42,115.42,3.94,3.66,1.19,2.32,9.94,1.06,3.6,1535.39
A,15.22,2.71,2.69,17.09,120.15,4.63,3.5,0.91,2.63,8.03,1.07,3.58,1482.51
A,14.56,2.57,3.37,17.05,113.66,4.26,4.17,1.02,4.1,9.71,1.42,4.32,1498.26
A,14.17,3.17,3.73,22.88,119.56,2.87,3.6,0.92,2.16,6.52,1.65,4.02,754.16
A,13.8,3.45,3.15,21.99,119.45,3.09,3.4,1.38,2.54,6.39,1.72,3.91,823.69
A,13.47,2.82,2.96,21.08,122.63,2.86,2.73,1.3,2.66,7.3,1.12,4.27,924.89
A,14.22,2.64,2.94,23.08,120.59,3,3.42,1.22,3.73,5.18,1.67,4.84,871.39
A,13.25,3.52,3.03,21.52,124.54,3.71,3.79,1.25,2.29,5.32,1.66,2.96,775.26
A,13.97,3.12,3.16,23.18,124.51,3.17,3.99,0.96,3.72,5.5,1.23,3.03,832.43
A,14.07,3.06,3.26,22.16,123.87,3.49,4.32,0.45,2.25,6.87,1.53,4.72,770.09
A,14.16,2.6,3.34,22.45,120.24,3.46,4.66,1.04,2.46,5.63,1.61,3.83,857.5
A,14.17,2.9,3.13,22.94,125.47,3.33,3.41,0.52,2.35,7.28,1.63,4.61,807.76
A,13.85,2.93,3.46,21.85,119.64,3.31,4.32,0.41,2.17,6.09,1.58,3.33,805.66
A,13.26,3.42,3.72,21.29,124.15,3.18,3.98,0.95,3.82,4.44,1.21,3.56,755.92
A,13.29,2.65,3.26,23.71,125.42,2.99,3.78,1.19,1.86,7.2,1.36,4.41,803.62
A,13.97,3.58,3.48,21.69,125.7,3.71,2.69,1.09,3.29,5.03,1.45,4.73,743.39
A,13.5,3.17,3.38,22.59,125.24,3.44,2.72,0.7,3.01,6.22,1.76,3,828.15
A,13.82,3,3.84,23.73,118.85,3.72,3.63,1.12,1.88,6.29,1.89,2.94,876.34
A,13.56,2.94,3.25,22.88,126.17,3.52,4.07,1.27,3.81,5.4,1.33,3.76,903.68
A,14.15,3.46,3.47,22,127.96,3.68,3.64,1.3,3.02,6.48,1.93,3.18,822.34
A,13.7,2.81,3.22,23.68,127.48,3.01,4.22,1.39,3.72,5.79,1.3,4.19,806.08
A,13.44,3.47,2.94,21.98,124.34,3.28,3.48,1.09,3.76,4.77,1.18,3.89,853.56
A,14.19,3.01,3.23,21.41,126.49,2.93,4.24,0.66,2.45,6.12,2,4.07,890.45
A,14.55,2.41,3.25,17.51,114.74,3.34,3.94,1.1,2.06,8.1,1.78,3.63,1468.42
A,14.83,1.97,3.09,15.52,119.11,3.31,4.18,0.87,2.03,8.78,1.59,3.77,1637.43
A,14.27,1.87,2.78,15.98,114.43,4.17,5.24,0.46,2.99,8.3,1.21,4.42,1478.7
A,14.23,2.12,2.88,15.87,112.6,3.61,3.9,1.17,2.79,6.86,1.98,3.19,1568.22
A,14.7,1.92,3.28,16.19,119.71,3.78,5.01,0.61,3.04,8.33,1.8,3.06,1617.51
A,14.58,2.72,3.2,16.63,120,3.79,5.07,0.49,2.57,9.39,1.12,3.25,1520.33
A,14.57,2.33,2.79,17.06,114.97,3.57,4.35,0.69,2.27,9.58,1.81,4.12,1602.08
A,15.18,2.52,2.7,17.72,113.93,3.77,4.62,1.04,3.42,9.32,1.35,4.81,1647.8
A,15.05,2.31,2.68,17.51,119.59,3.8,4.98,0.51,2.34,7.98,1.24,4.78,1462.27
A,14.9,2.36,2.58,15.71,121.01,3.67,5.36,1.08,3.52,7.74,1.62,4.17,1589
A,14.23,2.11,3.21,16.83,119.79,3.88,4.69,1.3,3.59,7.53,1.65,3.12,1616.47
A,14.9,2.37,2.45,16.92,114.22,3.29,5.25,0.72,2.77,7.16,1.42,4.7,1591.4
A,14.22,2.37,2.46,17.37,115.64,4.1,5.35,1.13,3.58,8.86,1.29,3.45,1593.48
A,14.36,2.66,2.88,17.41,115.28,3.52,3.76,0.88,2.33,6.78,1.76,3.85,1466.75
A,14.7,2.71,3.41,17.16,117.21,3.67,4.65,0.85,2.56,6.99,1.41,3,1636.13
A,14.78,2.21,3.21,15.91,112.42,4.21,5.23,0.52,3.33,8.79,2.03,3.13,1454.99
A,14.6,2.05,2.61,15.98,119.05,4.22,5.29,1.26,2.74,8.48,1.69,3.66,1621.55
A,14.75,2.09,2.82,16.18,113.72,3.94,3.52,1.17,2.32,7.35,2.01,4.02,1625.01
A,14.4,1.85,2.86,18.16,118.69,3.81,4.48,1.1,3.97,8.62,1.48,3.55,1622.42
A,15.04,2.21,2.65,16.73,121.4,3.9,4.29,0.71,2.16,7.46,1.95,4.64,1487.81
A,14.73,2.23,3.04,16.7,105.96,3.18,4.49,0.45,3.64,7.25,1.33,4.36,1356.29
A,14.91,2.16,2.57,15.45,103.13,2.55,2.88,1.24,2.73,6.93,1.54,3.64,1323.7
A,14.43,2.66,2.58,15.49,105.11,2.91,2.85,0.34,3.53,7.53,1.09,4.36,1335.55
A,14.73,2.28,3.28,15.99,98.29,3.07,4.3,0.93,2.48,5.4,1.97,5.07,1485.55
A,14.45,2.71,2.54,17.42,105.65,3.34,4.18,0.98,2.99,5.48,1.52,3.71,1324.39
A,14.46,2.28,3.09,16.8,102.1,2.72,3.86,1.05,2.89,7.89,1.72,5.35,1373.14
A,14.99,2.59,3.04,15.2,100.38,2.63,3.81,0.54,2.4,6.79,1.67,4.02,1367.73
A,14.92,1.97,3.28,16.53,103.95,2.68,3.81,0.68,2.22,7.25,1.19,4.59,1350.62
A,14.83,2.62,2.62,17.45,103.27,2.93,2.73,0.36,3.26,5.62,1.47,4.94,1296.37
A,15.14,2.25,3.27,14.83,101.14,3.05,3.3,0.41,3.07,6.32,1.3,4.96,1485.63
A,14.46,2.16,2.77,17.43,103.82,3.15,3.23,1.28,3.29,6.9,1.3,5.21,1457.78
A,14.93,2.41,3.18,16.96,102.7,3.41,3.68,0.75,3.57,6.55,1.96,5.5,1408.3
A,14.52,2.75,3.18,14.84,101.02,3.48,2.56,0.34,3.97,6.51,1.09,4.69,1405.15
A,15.09,1.93,3.42,17.46,105.49,3.16,4.4,0.92,3.44,5.26,1.94,4.96,1331.27
A,14.5,2.78,2.88,16.69,104.05,2.73,4.48,0.72,3.14,6.2,2,4.75,1294.47
A,15.37,2.48,3.27,14.76,103.26,2.57,3.86,1.24,3.26,7.95,1.24,5.47,1316.33
A,14.67,1.95,2.81,16.71,104.42,2.53,3.75,0.68,3.24,5.97,1.84,5.39,1392.27
A,15.29,2.39,2.82,17.49,96.64,3.45,3.65,1,2.82,6.63,1.15,3.93,1323.4
A,15.2,2.75,3.35,15.56,99.81,2.93,3.22,0.7,3.83,7.76,1.38,4.94,1359.59
A,14.97,2.34,2.69,17.45,100.63,2.7,3.39,0.61,3.32,6.03,1.22,5.46,1324.35
A,14.33,2.41,3.26,17.62,123.43,3.2,3.57,0.86,1.72,6.76,1.42,5.41,1397.03
A,14.69,2.79,3.1,20.5,123.64,3.52,3.21,0.61,1.78,6.53,1.52,4.9,1463.6
A,14.25,2.47,2.94,18.39,130.09,3.55,4.37,1.2,1.83,5.39,1.46,3.91,1472.4
A,14.06,2.26,3.28,20.35,125.94,3.41,3.49,1.19,1.93,6.51,1.47,4.3,1302.8
A,14.35,2.91,3.4,17.99,121.18,2.84,4.19,1.05,3.16,6.64,1.14,5.42,1367.75
A,14.95,2.94,2.81,19.86,123.98,3.2,4,0.48,1.35,7.16,1.58,4.75,1464.46
A,14.18,2.38,2.99,20.4,127.63,3.34,3.92,1.14,2.65,6.85,1.49,5.43,1296.61
A,14.11,3,3.18,17.74,130.22,2.73,3.92,0.71,3.02,5.94,1.43,5.22,1325.36
A,14.7,3.08,3.42,18.18,130.8,2.83,3.97,1.28,1.3,7.46,1.8,5.57,1493.58
A,14.19,3.07,3.07,18.77,127.93,2.73,3.89,0.55,2.67,5.88,1.25,4.66,1449.32
A,14.47,2.48,3.11,20.1,126.51,2.67,3.31,0.57,1.34,6.19,1.81,5.56,1397.59
A,14.49,2.46,2.67,18.79,125.36,3.46,3.4,0.53,2.45,5.29,1.97,4.99,1301.94
A,14.14,2.29,2.94,20.49,128.18,3.08,3.35,0.4,2.68,5.56,1.89,4.01,1350.41
A,15.05,3.1,2.66,19.69,129.95,2.66,3.83,1.12,2.57,5.98,1.76,5.26,1403.85
A,14.55,2.59,3.47,18.56,129.71,2.69,2.85,1.06,3.22,6.67,1.34,5.49,1462.88
A,14.86,2.29,3.32,18.72,121.39,3.54,3.45,0.44,2.31,5.53,1.98,4.96,1366.71
A,14.35,3.03,2.77,19.5,130.87,2.78,3.15,0.78,2.47,7.34,1.75,5.32,1364.26
A,14.62,2.16,3.56,19.35,127.98,2.78,2.66,0.54,2.83,6.65,1.88,4.62,1353.62
A,14.91,2.47,2.67,19.25,124.69,3.08,4.5,0.92,2.51,8.02,1.92,5.42,1477.9
A,14.48,2.71,2.68,19.9,122.02,3.13,4.47,0.8,3.05,6.38,1.38,5.55,1414.95
A,15.46,2.59,2.39,16.73,101.54,3.08,3.48,0.57,3.49,5.7,1.27,3.2,1141.73
A,15.46,2.47,2.22,16.42,99.84,2.88,4.78,0.53,2.9,5.33,1.94,3.27,1219.28
A,15.12,2.33,2.66,16.93,99.3,3.74,4.11,0.52,3.59,7.13,1.97,4.4,1070.56
A,14.96,1.89,2.49,16.16,103,2.84,3.06,0.58,2.14,7.85,1.2,3.77,1081.48
A,15.39,1.73,3.16,15.42,105.4,3.45,3.44,0.99,3.56,6.92,1.85,3.64,1081.57
A,14.88,1.82,3.07,14.03,102.04,3.63,3.34,0.71,3.81,8.01,1.38,3.41,1189.45
A,15.39,2.49,2.36,16.65,101.28,2.89,4.44,0.58,2.7,8.02,1.78,3.63,1200.7
A,14.88,2.19,2.58,16.19,105.29,3.58,3.57,1.19,3.25,5.35,1.95,4.08,1088.06
A,15.58,2.48,2.23,14.56,98.84,3.48,3.95,1.2,2.08,7.99,2.06,3.52,1146.91
A,15.42,1.93,2.44,16.88,102.77,2.94,4.13,1.21,3.76,7.06,1.78,4.46,1243.29
A,15.61,2.26,3.11,15.88,97.32,3.47,3.06,1.15,2.94,6.03,1.27,3.72,1059.11
A,15.19,2.38,3.16,15.05,105.23,3.11,4.21,0.32,3.26,5.49,1.4,4.46,1072.72
A,14.94,1.67,2.61,15.89,102.51,3.73,3.37,0.32,3.72,8.09,1.96,3.96,1151.03
A,15.01,2.33,2.28,15.39,106.92,3.6,3.09,0.59,3.19,7.51,1.74,4.7,1100.88
A,15.33,1.96,2.88,15.88,100.81,2.83,3.58,0.94,2.32,7.47,1.72,3.7,1221.47
A,14.91,2.53,2.54,14.74,102.03,3.78,3.18,0.72,2.34,5.2,1.79,3.92,1189.61
A,14.95,2,2.81,16.26,99.19,2.95,3.63,1.28,3.46,6.24,1.89,4.61,1091.08
A,15.11,2.46,2.36,15.12,105.62,2.86,4.33,0.93,3.14,5.59,2.02,3.41,1062.74
A,15.57,2.63,2.89,15.28,105.93,3.02,3.86,0.93,2.94,6.95,1.86,3.24,1058.88
A,15.46,2.31,2.92,16.28,106.32,3.68,4.46,0.89,3.94,5.77,1.47,3.15,1243.04
A,14.07,1.52,2.69,16.03,106.85,3.49,5.12,0.68,2.12,7.98,1.39,5.04,1240.25
A,14.28,1.83,2.92,16.24,104.27,3.81,4.28,0.31,2.86,7.62,1.33,4.81,1203.65
A,14.84,2.21,2.79,17.25,100.23,3.54,5.03,0.98,2.82,9.73,1.94,3.86,1174.27
A,14.27,1.38,2.39,18.72,103.56,3.55,4.55,0.66,2.65,9.62,1.11,4.26,1050.28
A,14.08,1.9,2.59,17.91,100.2,3.21,4.24,0.82,2.7,7.25,1.7,5.32,1104.85
A,14.57,2.14,2.38,18.74,103.4,3.38,5.02,0.36,2.09,9.26,1.2,4.79,1065.19
A,14.15,1.67,2.51,16.67,100.57,3.48,4.26,0.49,2.09,8.08,1.41,5.29,1119.18
A,14.1,1.95,3.09,17.1,99.87,3.92,3.43,0.38,3.4,8.45,1.54,4.27,1089.79
A,14.6,2.27,2.51,16.3,106.85,3.85,4.16,0.93,2.08,7.71,1.4,4.02,1091.75
A,13.9,1.58,2.57,17.5,99.4,3.2,5.14,0.94,2.57,7.27,1.12,3.81,1204.81
A,14.39,1.84,2.4,16.95,104.76,3.84,4.04,0.48,3.4,9.09,1.14,5.5,1112.31
A,13.86,1.6,2.47,18.34,99.86,3.88,4.19,0.7,3.64,7.47,1.61,4.86,1182.53
A,14.41,1.58,2.4,16.98,103.78,3.8,4.79,0.48,3.12,10.16,2,5.55,1200.29
A,13.98,1.85,3.08,16.69,99.33,3.05,3.93,1.15,2,7.27,1.06,4.3,1218.95
A,13.95,2.28,2.46,17.08,105.38,3.81,4.78,0.32,3.1,9.87,1.61,5.49,1045.04
A,14.2,1.64,2.53,16.22,103.92,3.94,3.64,1.08,2.52,9.62,1.67,3.87,1184.91
A,14.2,1.43,2.64,18.66,99.92,3.43,4.45,0.24,2.19,8.45,1.65,4.95,1129.46
A,14.52,2.28,2.97,17.62,103.83,3.34,4.93,0.49,3.39,7.23,1.51,3.65,1193.29
A,14.22,1.83,2.38,17.16,103.76,3.8,4.01,0.42,2.96,7.63,1.16,4.9,1215.33
A,14.37,1.88,2.62,17.49,104.74,3.64,3.55,0.94,2.59,9.19,1.49,4.79,1163.55
A,14.54,3.11,2.92,19.97,109.67,3.07,5.2,0.73,3.74,5.8,1.54,4.14,1655.25
A,14.45,2.39,3.27,18.26,105.2,3.55,4.83,0.65,3.97,7.81,1.73,3.25,1681.88
A,14.32,2.91,3.21,19.63,108.5,3.31,4.38,0.49,2.91,7.33,2.24,3.67,1706.8
A,14.43,2.29,2.43,18.68,106.19,3.58,4.3,1.07,2.85,7.38,1.41,3.83,1643.42
A,14.85,2.25,3.22,19.42,106.51,3.9,4.67,0.91,4.08,7.31,2.18,3.79,1597.13
A,14.77,2.44,2.43,19.06,108.85,3.57,4.54,0.74,3.37,7.13,1.3,3.61,1705.02
A,14.39,2.4,2.7,19.52,106.94,3.94,4.95,0.87,2.83,8.17,2.14,4.65,1694.55
A,14.23,2.3,2.94,18.85,112.39,3.53,4.16,0.39,3.63,6.76,1.37,3.93,1522.54
A,14.59,3.01,2.38,20.55,111.91,3.67,3.38,0.78,3.05,6.89,1.35,3.36,1701.88
A,14.58,2.78,2.73,19.48,111.72,2.95,4.42,0.95,3.39,7.26,2.03,5.16,1625.53
A,15.01,2.65,2.69,20.26,113.97,3.21,5.18,0.59,3.85,8.19,1.66,3.5,1627.9
A,14.11,2.73,2.86,19.99,106.8,3.35,4.47,0.62,2.99,6.56,2.13,4.51,1626.38
A,14.6,2.74,2.93,20.77,108,3.71,5.24,1.12,3,6.77,1.95,3.96,1650.5
A,14.36,2.59,3.14,20.13,107.92,3.35,3.4,0.43,3.13,6.63,1.34,3.47,1708.55
A,14.54,2.58,2.55,19.41,113.37,3.31,4.96,0.42,3.07,8.6,1.5,3.22,1704.14
A,14.59,2.63,3.23,19.69,111.98,3.75,4.86,0.26,3.96,6.38,1.39,3.86,1567.2
A,14.1,3.08,3.04,19.5,109.16,3.84,3.77,0.69,4.33,6.92,1.9,4.14,1641.85
A,14.29,3.15,2.91,18.75,110.3,3.86,4.05,1,2.5,7.49,1.58,4.38,1626.66
A,14.71,2.82,2.39,19.67,110.58,3.56,4.18,0.96,3.59,8.12,1.38,4.2,1523.02
A,14.39,2.97,2.81,20.25,109.6,2.96,4.8,0.63,4.01,6.09,1.39,3.31,1643.08
A,14.97,2.39,3.29,18.3,96.8,3.14,2.44,0.45,1.7,5.34,1.26,2.83,1382.77
A,14.34,2.11,2.38,19.4,96.8,2.75,3.51,0.45,2.11,5.9,2.06,4.57,1423.4
A,14.57,1.52,2.56,19.31,96.41,2.25,4.12,1.12,2.24,6.9,1.75,3.98,1386.82
A,14.23,1.93,2.4,17.54,98.18,2.96,3.47,0.43,3.17,7.93,2.01,3.33,1290.98
A,15.1,1.92,2.59,17.81,104.38,2.22,3.01,1.09,2.09,5.14,1.31,3.29,1316.74
A,14.9,2.12,2.96,18.79,99.68,2.7,3.23,0.51,3.08,6.33,1.75,4.05,1286.61
A,14.28,1.68,2.47,18.87,96.38,2.63,2.44,0.77,2.39,5.08,1.64,3.2,1454.23
A,14.33,2.43,3.16,19.19,104.31,3.08,2.67,0.3,1.9,7.38,1.51,3.41,1321.44
A,14.99,2.34,2.88,16.84,104.36,3.05,2.74,0.99,1.98,5.94,1.56,4.05,1348.44
A,14.64,1.55,2.5,17.22,101.74,2.2,3.17,0.29,1.92,5.65,2.12,3.4,1448.45
A,14.34,1.76,3.17,19.07,101.25,2.65,3.95,0.48,2.4,7.19,1.29,3.78,1454.23
A,14.85,2.02,2.59,19.39,98.45,2.91,3.03,0.85,2.79,7.52,1.46,4.41,1358.79
A,14.3,2.02,3.19,18.34,98.33,2.48,4.1,1.01,1.74,5.17,1.18,3.6,1461.96
A,14.22,1.66,2.98,19.64,102.84,2.54,2.56,0.74,2.68,7.91,1.31,3.75,1372.54
A,14.59,2.31,2.87,18.51,97.71,3.13,3.7,0.45,3.26,6.98,1.26,4.04,1454.8
A,14.55,1.51,3.01,18.99,101.94,2.24,2.78,0.4,3.33,6.55,1.19,3.61,1383.82
A,15.11,2.41,2.37,18.57,98.75,2.63,2.73,0.79,2.72,5.36,1.25,4.42,1462.93
A,14.88,1.97,3.23,19.02,97.26,2.96,3.61,0.79,2.65,7.14,1.38,2.94,1440.09
A,14.48,2.46,3.22,18.92,98.59,2.97,3.21,0.58,2.21,5.68,1.77,4.02,1408.61
A,14.61,2.46,2.37,18.26,96.99,2.38,4.12,0.86,2.37,7.3,1.38,3.6,1428.09
A,14.02,1.93,2.93,18.45,90.14,2.76,4.34,0.9,2.24,5.99,1.7,2.93,1402.06
A,14.35,1.74,3.38,17.92,97.56,3.22,3.24,1.15,3.7,8.43,1.24,3.1,1370.47
A,13.98,2.07,2.98,18.94,97.13,3.17,4.57,1.23,2.25,6.12,1.81,4.46,1501.37
A,14.72,2.54,2.91,17.27,96.74,3.07,2.87,1.08,3.79,7.68,1.4,2.99,1461.71
A,13.89,2.09,2.72,16.11,94.49,2.95,3.01,1.01,2.19,8.12,1.22,4.46,1499.34
A,14.69,1.75,2.51,17.72,96.36,3.25,4.45,1.11,3.22,6.02,1.22,3.15,1440.04
A,13.8,1.82,3.05,17.06,97.73,3.53,3.43,1.22,1.89,7.06,1.37,3.86,1504.01
A,14.1,2.01,3.11,16.92,90.44,3.6,4.61,0.78,2.71,8.45,1.16,4.52,1414.26
A,14.15,2.42,3.33,16.87,96.49,3,3.34,0.69,3.39,7.46,1.34,4.09,1334.36
A,14.26,1.98,2.49,17.26,96.06,3.16,4.21,0.41,3.77,6.65,1.62,3.19,1389.34
A,14.58,2.27,3.38,18.67,98.01,2.84,2.91,0.49,1.98,8.39,1.67,3.19,1509.56
A,13.82,1.95,3.03,18.48,94.68,2.77,3.52,0.4,2.61,5.67,1.93,3.32,1500.16
